OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
113,-13,-5.532616331150471,20.647916567536477,-13.1266909,0.0015702,37.1900826,-0.5636942,-0.3189129,4.0000000,0.2319166,1.0833440,22.6308308,-0.8697424,1.9723986
114,-13,-5.525159691150471,20.647916567536477,-13.1283827,0.0033058,43.8016510,-0.5024058,-0.3584620,4.0000000,0.1291289,1.0841388,22.7314014,-0.8460529,1.9550966
115,-13,-5.517703051150471,20.647916567536477,-13.1300287,-0.0050413,17.3553715,-0.4390109,-0.3963642,4.0000000,0.0252299,1.0847769,22.8110256,-0.8179582,1.9474077
116,-13,-5.510246411150471,20.647916567536477,-13.1316261,-0.0033884,21.4876041,-0.3777916,-0.4321964,4.0000000,-0.0777281,1.0852598,22.8710709,-0.7866647,1.9569042
117,-13,-5.502789771150471,20.647916567536477,-13.1331701,-0.0019835,25.6198349,-0.3176774,-0.4659403,4.0000000,-0.1807835,1.0855806,22.9117851,-0.7510971,1.9783365
118,-13,-5.495333131150471,20.647916567536477,-13.1346550,-0.0005785,30.5785122,-0.2606244,-0.4963719,4.0000000,-0.2805312,1.0857723,22.9365578,-0.7122125,2.0072455
119,-13,-5.487876491150471,20.647916567536477,-13.1360798,0.0009091,35.5371895,-0.2063915,-0.5224432,4.0000000,-0.3766352,1.0858587,22.9466896,-0.6682510,2.0332618
120,-13,-5.480419851150471,20.647916567536477,-13.1374388,0.0022314,40.4958687,-0.1558931,-0.5467460,4.0000000,-0.4708396,1.0858430,22.9433517,-0.6226522,2.0694942
121,-13,-5.472963211150471,20.647916567536477,-13.1387300,0.0034711,44.6280975,-0.1098979,-0.5674531,4.0000000,-0.5610595,1.0857315,22.9292011,-0.5738468,2.1045368
122,-13,-5.465506571150471,20.647916567536477,-13.1399508,0.0046281,48.7603302,-0.0703371,-0.5838963,4.0000000,-0.6449803,1.0855302,22.9043903,-0.5228124,2.1351032
123,-13,-5.458049931150471,20.647916567536477,-13.1410980,-0.0042149,21.4876041,-0.0374819,-0.5955950,4.0000000,-0.7202271,1.0852705,22.8721561,-0.4709629,2.1544800
124,-13,-5.450593291150471,20.647916567536477,-13.1421700,-0.0031405,24.7933884,-0.0113300,-0.6037668,4.0000000,-0.7882987,1.0849776,22.8333683,-0.4192350,2.1683738
125,-13,-5.443136651150471,20.647916567536477,-13.1431646,-0.0021488,28.0991745,0.0078387,-0.6091524,4.0000000,-0.8503228,1.0846548,22.7933159,-0.3679820,2.1816795
126,-13,-5.435680011150471,20.647916567536477,-13.1440821,-0.0012397,31.4049587,0.0212782,-0.6093763,4.0000000,-0.9026390,1.0843134,22.7503414,-0.3161137,2.1722724
127,-13,-5.428223371150471,20.647916567536477,-13.1449203,-0.0004132,33.8842964,0.0294278,-0.6069489,4.0000000,-0.9471560,1.0839689,22.7061329,-0.2667417,2.1557016
128,-13,-5.420766731150471,20.647916567536477,-13.1456795,0.0004132,36.3636360,0.0289568,-0.6002138,4.0000000,-0.9842798,1.0836288,22.6627102,-0.2161477,2.1307952
129,-13,-5.413310091150471,20.647916567536477,-13.1463594,0.0011570,38.8429756,0.0230814,-0.5907785,4.0000000,-1.0134509,1.0832992,22.6208591,-0.1681062,2.0992501
130,-13,-5.405853451150471,20.647916567536477,-13.1469593,0.0017355,40.4958687,0.0109561,-0.5756014,4.0000000,-1.0301793,1.0829983,22.5823383,-0.1210234,2.0428309
131,-13,-5.398396811150471,20.647916567536477,-13.1474810,0.0022314,42.1487617,-0.0055218,-0.5584009,4.0000000,-1.0408952,1.0827334,22.5477924,-0.0759066,1.9850485
132,-13,-5.390940171150472,20.647916567536477,-13.1479244,0.0026446,42.9752083,-0.0273452,-0.5371035,4.0000000,-1.0431050,1.0825006,22.5185680,-0.0311020,1.9164613
133,-13,-5.383483531150471,20.647916567536477,-13.1482906,0.0030579,43.8016510,-0.0504182,-0.5142526,4.0000000,-1.0389187,1.0823095,22.4935551,0.0104135,1.8440144
134,-13,-5.376026891150472,20.647916567536477,-13.1485825,0.0033058,44.6280975,-0.0763137,-0.4896860,4.0000000,-1.0300108,1.0821604,22.4740486,0.0506388,1.7733943
