OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
107,-13,-4.883888651150471,17.568324247536477,-13.0664263,0.0000000,0.0000000,1.6285192,-1.6550833,5.0000000,-1.0045578,1.0009499,2.4979672,-2.3056087,7.7212934
108,-13,-4.876432011150472,17.568324247536477,-13.0660620,0.0000000,0.0000000,0.4146035,-1.1054165,5.0000000,-1.1256989,1.0015959,3.2417290,-1.0851340,4.0849586
109,-13,-4.868975371150471,17.568324247536477,-13.0655947,0.0000000,0.0000000,-0.5337116,-0.5711053,4.0000000,-1.1168841,1.0019881,3.6750050,-0.0253264,2.3968658
110,-13,-4.861518731150472,17.568324247536477,-13.0651360,0.0000000,0.0000000,-1.0751480,-0.1478671,4.0000000,-1.0879936,1.0018954,3.5149851,0.7922595,2.2567956
111,-13,-4.854062091150471,17.568324247536477,-13.0647192,0.0000000,0.0000000,-1.1351434,-0.0443366,4.0000000,-1.0888861,1.0017853,3.3749359,1.0002130,2.2946835
112,-13,-4.846605451150472,17.568324247536477,-13.0643272,0.0000000,0.0000000,-1.0692879,-0.0556036,4.0000000,-1.0906218,1.0017624,3.3594604,0.9794146,2.1666019
113,-13,-5.003194891150471,17.560867607536480,-13.0592680,0.0041322,41.3223152,-0.1402439,-0.0440202,4.0000000,0.2964519,1.0034989,4.8036451,-0.3844923,0.2919026
114,-13,-4.995738251150471,17.560867607536480,-13.0598488,0.0050413,50.4132233,-0.2302679,-0.0447580,4.0000000,0.1662983,1.0032818,4.6717801,-0.2558143,0.4745750
115,-13,-4.988281611150471,17.560867607536480,-13.0604143,-0.0040496,0.0000000,-0.3854259,-0.0043866,4.0000000,0.0787359,1.0029607,4.4030972,-0.0875091,0.7800891
116,-13,-4.980824971150471,17.560867607536480,-13.0609417,-0.0031405,0.0000000,-0.4601647,0.1889660,4.0000000,0.0746384,1.0026633,4.1256800,0.3032937,1.0738021
