OID_,Clips_Alternate_DEM_Large_S5_15_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1
1047,,-6.718222091150471,19.186415127536481,-13.1279335,0.0015702,43.8016510,1.5345292,-1.8076494,4.0000000,-1.0947824,1.1435533,29.0084476,-2.5205164
1048,,-6.710765451150471,19.186415127536481,-13.1319542,-0.0047934,27.2727280,1.3312927,-1.7963290,4.0000000,-1.1460363,1.1319926,27.9331799,-2.4466219
1049,,-6.703308811150471,19.186415127536481,-13.1358051,-0.0007438,36.3636360,1.0767645,-1.7832818,4.0000000,-1.1821650,1.1213133,26.8847218,-2.3843985
1050,,-6.695852171150471,19.186415127536481,-13.1394930,0.0028926,45.4545441,0.7864881,-1.7744410,4.0000000,-1.1990813,1.1114556,25.8638077,-2.3498008
1051,,-6.688395531150471,19.186415127536481,-13.1430244,-0.0038017,27.2727280,0.4653507,-1.7674389,4.0000000,-1.1938998,1.1024094,24.8740120,-2.3409781
1052,,-6.680938891150471,19.186415127536481,-13.1464062,-0.0004959,36.3636360,0.1311790,-1.7642770,5.0000000,-1.1625787,1.0941620,23.9251060,-2.3659751
1053,,-6.673482251150471,19.186415127536481,-13.1496429,0.0030579,45.4545441,-0.2052599,-1.7656046,4.0000000,-1.1016093,1.0866835,23.0190067,-2.4296000
1054,,-6.666025611150471,19.186415127536481,-13.1527405,-0.0040496,23.1404953,-0.5293842,-1.7707511,4.0000000,-1.0094525,1.0799365,22.1594944,-2.5320499
1055,,-6.658568971150471,19.186415127536481,-13.1557026,-0.0009917,32.2314034,-0.8136567,-1.7821523,4.0000000,-0.8876389,1.0739144,21.3578873,-2.6766655
1056,,-6.651112331150471,19.186415127536481,-13.1585331,0.0022314,41.3223152,-1.0510393,-1.7976300,4.0000000,-0.7390943,1.0685678,20.6103897,-2.8561656
1057,,-6.643655691150471,19.186415127536481,-13.1612339,-0.0052893,14.8760328,-1.2233057,-1.8154764,4.0000000,-0.5711233,1.0638709,19.9263420,-3.0598295
1058,,-6.636199051150471,19.186415127536481,-13.1638079,-0.0026446,22.3140488,-1.3355479,-1.8326995,4.0000000,-0.3937145,1.0598042,19.3112049,-3.2716846
1059,,-6.628742411150471,19.186415127536481,-13.1662550,0.0001653,29.7520657,-1.3791620,-1.8482856,4.0000000,-0.2185247,1.0563300,18.7653732,-3.4780464
1060,,-6.621285771150471,19.186415127536481,-13.1685772,0.0022314,38.0165291,-1.3599484,-1.8575460,4.0000000,-0.0601368,1.0534531,18.3017292,-3.6549549
1061,,-6.613829131150471,19.186415127536481,-13.1707754,-0.0055372,10.7438021,-1.2873931,-1.8589619,4.0000000,0.0694476,1.0511661,17.9204922,-3.7873716
1062,,-6.606372491150471,19.186415127536481,-13.1728525,-0.0032231,15.7024794,-1.1505493,-1.8529845,4.0000000,0.1568947,1.0494370,17.6274414,-3.8628638
